## Tue Dec 10 21:51:34 2024
## emapper-2.1.12
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_mg7s3_zk --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_mg7s3_zk --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_mg7s3_zk/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
BDA39162.1	1527444.ucyna2_00820	1.48e-247	679.0	COG0536@1|root,COG0536@2|Bacteria,1G019@1117|Cyanobacteria	1117|Cyanobacteria	S	An essential GTPase which binds GTP, GDP and possibly (p)ppGpp with moderate affinity, with high nucleotide exchange rates and a fairly low GTP hydrolysis rate. Plays a role in control of the cell cycle, stress response, ribosome biogenesis and in those bacteria that undergo differentiation, in morphogenesis control	obg	-	-	ko:K03979	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	GTP1_OBG,MMR_HSR1
BDA39163.1	1527444.ucyna2_00819	0.0	3700.0	COG2911@1|root,COG2982@1|root,COG2911@2|Bacteria,COG2982@2|Bacteria,1G1RU@1117|Cyanobacteria	1117|Cyanobacteria	U	Family of	-	-	-	ko:K09800	-	-	-	-	ko00000,ko02000	-	-	-	DUF748,TamB
BDA39164.1	1527444.ucyna2_00818	2.67e-131	372.0	2CCJT@1|root,2ZC3W@2|Bacteria,1G547@1117|Cyanobacteria	1117|Cyanobacteria	S	Protein of unknown function (DUF2808)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2808
BDA39165.1	1527444.ucyna2_00817	4.39e-62	190.0	2CJ3S@1|root,32S96@2|Bacteria,1G7NX@1117|Cyanobacteria	1117|Cyanobacteria	S	Protein of unknown function (DUF3593)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3593
BDA39166.1	1527444.ucyna2_00816	1.94e-76	228.0	2DMI8@1|root,32RQE@2|Bacteria,1G7QT@1117|Cyanobacteria	1117|Cyanobacteria	S	InterPro IPR019634	ycf49	-	-	-	-	-	-	-	-	-	-	-	DUF2499
BDA39167.1	1527444.ucyna2_00815	8.38e-232	637.0	COG0189@1|root,COG0189@2|Bacteria,1G0NW@1117|Cyanobacteria	1117|Cyanobacteria	H	Belongs to the prokaryotic GSH synthase family	gshB	GO:0003674,GO:0003824,GO:0004363,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006518,GO:0006575,GO:0006749,GO:0006750,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0016874,GO:0016879,GO:0016881,GO:0019184,GO:0034641,GO:0042398,GO:0043043,GO:0043603,GO:0043604,GO:0044237,GO:0044249,GO:0044271,GO:0044272,GO:0044424,GO:0044464,GO:0051186,GO:0051188,GO:0071704,GO:1901564,GO:1901566,GO:1901576	6.3.2.3	ko:K01920	ko00270,ko00480,ko01100,map00270,map00480,map01100	M00118	R00497,R10994	RC00096,RC00141	ko00000,ko00001,ko00002,ko01000	-	-	iJN678.gshB	GSH-S_ATP,GSH-S_N
BDA39168.1	1527444.ucyna2_00814	4.55e-58	179.0	COG0695@1|root,COG0695@2|Bacteria,1G7RH@1117|Cyanobacteria	1117|Cyanobacteria	O	Has a glutathione-disulfide oxidoreductase activity in the presence of NADPH and glutathione reductase. Reduces low molecular weight disulfides and proteins	-	-	-	ko:K03676	-	-	-	-	ko00000,ko03110	-	-	-	Glutaredoxin
BDA39169.1	1527444.ucyna2_00813	2.6e-201	556.0	COG0720@1|root,COG0720@2|Bacteria,1G0ND@1117|Cyanobacteria	1117|Cyanobacteria	H	TIGRFAM 6-pyruvoyl tetrahydropterin synthase QueD family protein	-	-	4.1.2.50,4.2.3.12	ko:K01737	ko00790,ko01100,map00790,map01100	M00842,M00843	R04286,R09959	RC01117,RC02846,RC02847	ko00000,ko00001,ko00002,ko01000,ko03016	-	-	-	PTPS
BDA39170.1	1527444.ucyna2_00812	1.15e-109	315.0	COG2815@1|root,COG2815@2|Bacteria,1G7YE@1117|Cyanobacteria	1117|Cyanobacteria	S	CAAD domains of cyanobacterial aminoacyl-tRNA synthetase	-	-	-	-	-	-	-	-	-	-	-	-	CAAD
BDA39171.1	1527444.ucyna2_00811	1.4e-161	452.0	COG1290@1|root,COG1290@2|Bacteria,1G125@1117|Cyanobacteria	1117|Cyanobacteria	C	Component of the cytochrome b6-f complex, which mediates electron transfer between photosystem II (PSII) and photosystem I (PSI), cyclic electron flow around PSI, and state transitions	petB	GO:0005575,GO:0005622,GO:0005623,GO:0009512,GO:0009579,GO:0016020,GO:0032991,GO:0034357,GO:0042651,GO:0044424,GO:0044436,GO:0044464,GO:0070069	-	ko:K02635	ko00195,ko01100,map00195,map01100	M00162	-	-	ko00000,ko00001,ko00002,ko00194	-	-	-	Cytochrome_B
