query_id,subject_id,percent_identity,alignment_length,mismatches,gap_openings,query_start,query_end,subject_start,subject_end,evalue,bit_score,query_length,subject_length,direction,coverage,normalized_bitscore
WP_009543193.1,BDA40323.1,23.4,1007,591,21,25,1018,27,866,6.789999999999999e-48,180.0,1053,885,crocosphaera -> ucyna,0.956315289648623,0.17874875868917578
WP_009543185.1,BDA39988.1,32.8,232,140,6,2,224,3,227,1.06e-31,112.0,228,246,crocosphaera -> ucyna,0.943089430894309,0.4827586206896552
WP_009543182.1,BDA40240.1,33.2,229,133,6,228,442,398,620,3.19e-25,103.0,450,652,crocosphaera -> ucyna,0.3512269938650307,0.4497816593886463
WP_009543181.1,BDA39432.1,67.1,502,149,3,1,498,1,490,2.4299999999999998e-244,673.0,498,490,crocosphaera -> ucyna,1.0080321285140563,1.340637450199203
WP_009543178.1,BDA40146.1,46.8,389,200,4,4,386,6,393,4.79e-115,337.0,407,402,crocosphaera -> ucyna,0.9557739557739557,0.8663239074550129
WP_008277352.1,BDA39862.1,82.2,118,21,0,1,118,1,118,1.19e-72,207.0,118,118,crocosphaera -> ucyna,1.0,1.7542372881355932
WP_009543177.1,BDA39863.1,67.2,137,45,0,1,137,1,137,3.35e-67,196.0,141,141,crocosphaera -> ucyna,0.9716312056737588,1.4306569343065694
WP_009543165.1,BDA39162.1,29.8,151,94,5,20,160,162,310,2.2e-08,51.6,664,340,crocosphaera -> ucyna,0.22740963855421686,0.34172185430463575
WP_009543160.1,BDA40254.1,73.1,360,96,1,1,360,1,359,3.3699999999999996e-189,522.0,362,360,crocosphaera -> ucyna,0.994475138121547,1.45
WP_009543158.1,BDA40253.1,69.6,365,109,1,1,363,1,365,2.06e-187,518.0,364,365,crocosphaera -> ucyna,1.0,1.4191780821917808
WP_009543157.1,BDA40252.1,68.6,385,121,0,1,385,1,385,6.86e-193,534.0,385,391,crocosphaera -> ucyna,0.9846547314578005,1.387012987012987
WP_009543156.1,BDA40251.1,58.6,391,160,2,1,390,1,390,2.49e-171,479.0,390,394,crocosphaera -> ucyna,0.9923857868020305,1.225063938618926
